# Convertido desde: CE.npy
# Dimensiones: batch=10, M=16, N=4
# Rango: [0.000000, 1.000000]
# Batch 0
0.45000000 0.10000000 0.10000000 0.40000000
0.25000000 0.65000000 0.55000000 0.55000000
0.45000000 0.55000000 0.55000000 0.55000000
0.25000000 0.55000000 0.55000000 0.60000000
0.55000000 0.65000000 0.85000000 0.65000000
0.55000000 0.65000000 0.80000000 0.55000000
0.45000000 0.80000000 0.55000000 0.40000000
0.70000000 0.80000000 0.65000000 0.65000000
0.05000000 0.60000000 0.45000000 0.40000000
0.55000000 0.45000000 0.55000000 0.55000000
1.00000000 1.00000000 1.00000000 1.00000000
0.45000000 0.55000000 0.55000000 0.30000000
1.00000000 1.00000000 1.00000000 1.00000000
0.45000000 0.45000000 0.55000000 0.55000000
0.60000000 0.70000000 0.75000000 0.55000000
0.55000000 0.40000000 0.40000000 0.75000000

# Batch 9
0.05000000 0.05000000 0.05000000 0.55000000
0.05000000 0.55000000 1.00000000 0.55000000
0.00000000 0.75000000 0.55000000 0.00000000
0.05000000 0.65000000 0.55000000 0.00000000
0.55000000 0.55000000 0.55000000 0.55000000
0.00000000 1.00000000 1.00000000 0.00000000
0.00000000 0.00000000 1.00000000 0.75000000
1.00000000 1.00000000 1.00000000 0.75000000
0.00000000 0.75000000 1.00000000 0.65000000
1.00000000 0.55000000 0.55000000 0.55000000
0.00000000 0.00000000 0.65000000 1.00000000
0.05000000 1.00000000 0.65000000 0.05000000
1.00000000 1.00000000 1.00000000 1.00000000
0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000
