dimension,value,mean_ms
batch,100,175.105
batch,500,158.271
batch,1000,200.632
batch,30,157.182
batch,5000,923.524
batch,8000,3011.18
batch,12000,7814.14
batch,15,190.998
batch,18000,3874.33
batch,20000,7401.54
M,4,175.105
M,8,158.271
M,12,200.632
M,16,157.182
M,24,923.524
M,32,3011.18
M,40,7814.14
M,56,190.998
M,72,3874.33
M,96,7401.54
N,4,175.105
N,8,158.271
N,12,200.632
N,16,157.182
N,24,923.524
N,32,3011.18
N,40,7814.14
N,56,190.998
N,72,3874.33
N,96,7401.54
