dimension,funcion,repeticion,tiempo_s
150,ft.maxmin,0,0.0003142356872558594
150,ft.maxmin,1,0.0001735687255859375
150,ft.maxmin,2,0.00016498565673828125
150,ft.maxmin,3,0.0001685619354248047
150,ft.maxmin,4,0.00016260147094726562
150,ft.maxmin,5,0.00016951560974121094
150,ft.maxmin,6,0.0001704692840576172
150,ft.maxmin,7,0.0001685619354248047
150,ft.maxmin,8,0.00016546249389648438
150,ft.maxmin,9,0.0001709461212158203
150,iterative_maxmin_cuadrado,0,0.008149862289428711
150,iterative_maxmin_cuadrado,1,0.007860660552978516
150,iterative_maxmin_cuadrado,2,0.00823068618774414
150,iterative_maxmin_cuadrado,3,0.007971763610839844
150,iterative_maxmin_cuadrado,4,0.008021116256713867
150,iterative_maxmin_cuadrado,5,0.00825047492980957
150,iterative_maxmin_cuadrado,6,0.007778644561767578
150,iterative_maxmin_cuadrado,7,0.008330106735229492
150,iterative_maxmin_cuadrado,8,0.007860183715820312
150,iterative_maxmin_cuadrado,9,0.008049249649047852
300,ft.maxmin,0,0.0002918243408203125
300,ft.maxmin,1,0.0002410411834716797
300,ft.maxmin,2,0.0002243518829345703
300,ft.maxmin,3,0.00022745132446289062
300,ft.maxmin,4,0.00022554397583007812
300,ft.maxmin,5,0.00022292137145996094
300,ft.maxmin,6,0.00022101402282714844
300,ft.maxmin,7,0.00020003318786621094
300,ft.maxmin,8,0.00020551681518554688
300,ft.maxmin,9,0.00020051002502441406
300,iterative_maxmin_cuadrado,0,0.008603334426879883
300,iterative_maxmin_cuadrado,1,0.008517980575561523
300,iterative_maxmin_cuadrado,2,0.008684873580932617
300,iterative_maxmin_cuadrado,3,0.00884699821472168
300,iterative_maxmin_cuadrado,4,0.008640527725219727
300,iterative_maxmin_cuadrado,5,0.009494304656982422
300,iterative_maxmin_cuadrado,6,0.00910329818725586
300,iterative_maxmin_cuadrado,7,0.008873462677001953
300,iterative_maxmin_cuadrado,8,0.009331703186035156
300,iterative_maxmin_cuadrado,9,0.00875234603881836
600,ft.maxmin,0,0.0008924007415771484
600,ft.maxmin,1,0.0007638931274414062
600,ft.maxmin,2,0.0007357597351074219
600,ft.maxmin,3,0.0007314682006835938
600,ft.maxmin,4,0.0007317066192626953
600,ft.maxmin,5,0.0007297992706298828
600,ft.maxmin,6,0.0007317066192626953
600,ft.maxmin,7,0.0007307529449462891
600,ft.maxmin,8,0.0007443428039550781
600,ft.maxmin,9,0.0007431507110595703
600,iterative_maxmin_cuadrado,0,0.0163419246673584
600,iterative_maxmin_cuadrado,1,0.014606952667236328
600,iterative_maxmin_cuadrado,2,0.014795303344726562
600,iterative_maxmin_cuadrado,3,0.015121698379516602
600,iterative_maxmin_cuadrado,4,0.01558685302734375
600,iterative_maxmin_cuadrado,5,0.015167236328125
600,iterative_maxmin_cuadrado,6,0.01577591896057129
600,iterative_maxmin_cuadrado,7,0.01797032356262207
600,iterative_maxmin_cuadrado,8,0.015275001525878906
600,iterative_maxmin_cuadrado,9,0.015134811401367188
700,ft.maxmin,0,0.0011172294616699219
700,ft.maxmin,1,0.0010213851928710938
700,ft.maxmin,2,0.001024007797241211
700,ft.maxmin,3,0.0009722709655761719
700,ft.maxmin,4,0.0010139942169189453
700,ft.maxmin,5,0.0011060237884521484
700,ft.maxmin,6,0.0010058879852294922
700,ft.maxmin,7,0.0009853839874267578
700,ft.maxmin,8,0.0009794235229492188
700,ft.maxmin,9,0.0009670257568359375
700,iterative_maxmin_cuadrado,0,0.01998591423034668
700,iterative_maxmin_cuadrado,1,0.01967334747314453
700,iterative_maxmin_cuadrado,2,0.01951885223388672
700,iterative_maxmin_cuadrado,3,0.02090930938720703
700,iterative_maxmin_cuadrado,4,0.02362656593322754
