c,n,repeticion,orden_efectivo
4,500,7,19
4,500,8,20
4,500,9,21
4,500,10,16
4,500,11,15
4,500,12,18
4,500,13,17
4,500,14,16
4,500,15,16
4,500,16,16
4,500,17,15
4,500,18,17
4,500,19,16
4,1000,0,20
4,1000,1,22
4,1000,2,20
4,1000,3,21
4,1000,4,21
4,1000,5,18
4,1000,6,25
4,1000,7,19
4,1000,8,22
4,1000,9,20
4,1000,10,18
4,1000,11,20
4,1000,12,18
4,1000,13,19
4,1000,14,17
4,1000,15,18
4,1000,16,18
4,1000,17,20
4,1000,18,20
4,1000,19,18
4,2500,0,22
4,2500,1,24
4,2500,2,22
4,2500,3,23
4,2500,4,22
4,2500,5,25
4,2500,6,24
4,2500,7,21
4,2500,8,23
4,2500,9,24
4,2500,10,28
4,2500,11,25
4,2500,12,23
4,2500,13,24
4,2500,14,25
4,2500,15,25
4,2500,16,22
4,2500,17,23
4,2500,18,24
4,2500,19,26
4,5000,0,23
4,5000,1,22
4,5000,2,27
4,5000,3,25
4,5000,4,25
4,5000,5,28
4,5000,6,23
4,5000,7,25
4,5000,8,25
4,5000,9,26
4,5000,10,26
4,5000,11,26
4,5000,12,24
4,5000,13,26
4,5000,14,25
4,5000,15,23
4,5000,16,25
4,5000,17,25
4,5000,18,25
4,5000,19,24
4,10000,0,29
4,10000,1,26
4,10000,2,29
4,10000,3,32
4,10000,4,30
4,10000,5,29
4,10000,6,32
4,10000,7,30
4,10000,8,28
4,10000,9,29
4,10000,10,28
4,10000,11,26
4,10000,12,33
4,10000,13,29
4,10000,14,29
4,10000,15,30
4,10000,16,29
4,10000,17,32
4,10000,18,30
4,10000,19,28
6,100,0,8
6,100,1,8
6,100,2,7
6,100,3,7
6,100,4,9
6,100,5,7
6,100,6,8
6,100,7,8
6,100,8,7
6,100,9,7
6,100,10,9
6,100,11,6
6,100,12,10
6,100,13,8
6,100,14,8
6,100,15,8
6,100,16,8
6,100,17,7
6,100,18,7
6,100,19,7
6,250,0,11
6,250,1,9
6,250,2,9
6,250,3,10
6,250,4,11
6,250,5,10
6,250,6,8
6,250,7,9
6,250,8,10
6,250,9,10
6,250,10,10
6,250,11,9
6,250,12,10
6,250,13,11
6,250,14,11
6,250,15,10
6,250,16,8
6,250,17,9
6,250,18,9
6,250,19,11
6,500,0,12
6,500,1,9
6,500,2,11
6,500,3,11
6,500,4,11
6,500,5,12
6,500,6,10
6,500,7,12
6,500,8,10
6,500,9,11
6,500,10,11
6,500,11,11
6,500,12,10
6,500,13,12
6,500,14,10
6,500,15,10
6,500,16,11
6,500,17,9
6,500,18,11
6,500,19,12
6,1000,0,14
