n,nodos,funcion,repeticion,tiempo_ms
400,800,iterative_maxmin_cuadrado_cpu,2,426.1176
400,800,iterative_maxmin_cuadrado_cpu,3,427.8443
400,800,iterative_maxmin_cuadrado_cpu,4,427.4543
400,800,iterative_maxmin_cuadrado_cpu,5,429.1249
400,800,iterative_maxmin_cuadrado_cpu,6,422.0418
400,800,iterative_maxmin_cuadrado_cpu,7,421.5953
400,800,iterative_maxmin_cuadrado_cpu,8,429.6754
400,800,iterative_maxmin_cuadrado_cpu,9,426.9321
500,1000,iterative_maxmin_cuadrado_cpu,0,880.5486
500,1000,iterative_maxmin_cuadrado_cpu,1,833.9103
500,1000,iterative_maxmin_cuadrado_cpu,2,842.5142
500,1000,iterative_maxmin_cuadrado_cpu,3,840.5239
500,1000,iterative_maxmin_cuadrado_cpu,4,840.8198
500,1000,iterative_maxmin_cuadrado_cpu,5,847.8777
500,1000,iterative_maxmin_cuadrado_cpu,6,842.2645
500,1000,iterative_maxmin_cuadrado_cpu,7,836.771
500,1000,iterative_maxmin_cuadrado_cpu,8,835.7441
500,1000,iterative_maxmin_cuadrado_cpu,9,834.6236
600,1200,iterative_maxmin_cuadrado_cpu,0,1590.3425
600,1200,iterative_maxmin_cuadrado_cpu,1,1437.2467
600,1200,iterative_maxmin_cuadrado_cpu,2,1425.654
600,1200,iterative_maxmin_cuadrado_cpu,3,1457.8941
600,1200,iterative_maxmin_cuadrado_cpu,4,1454.2657
600,1200,iterative_maxmin_cuadrado_cpu,5,1450.9414
600,1200,iterative_maxmin_cuadrado_cpu,6,1453.7452
600,1200,iterative_maxmin_cuadrado_cpu,7,1455.795
600,1200,iterative_maxmin_cuadrado_cpu,8,1427.6597
600,1200,iterative_maxmin_cuadrado_cpu,9,1425.5789
800,1600,iterative_maxmin_cuadrado_cpu,0,4107.7151
800,1600,iterative_maxmin_cuadrado_cpu,1,3618.4199
800,1600,iterative_maxmin_cuadrado_cpu,2,3619.933
800,1600,iterative_maxmin_cuadrado_cpu,3,3668.2947
800,1600,iterative_maxmin_cuadrado_cpu,4,3685.4772
800,1600,iterative_maxmin_cuadrado_cpu,5,3618.6382
800,1600,iterative_maxmin_cuadrado_cpu,6,3622.855
800,1600,iterative_maxmin_cuadrado_cpu,7,3642.8409
800,1600,iterative_maxmin_cuadrado_cpu,8,3590.6093
800,1600,iterative_maxmin_cuadrado_cpu,9,3645.9822
900,1800,iterative_maxmin_cuadrado_cpu,0,5777.6721
900,1800,iterative_maxmin_cuadrado_cpu,1,5161.1806
900,1800,iterative_maxmin_cuadrado_cpu,2,5084.2045
900,1800,iterative_maxmin_cuadrado_cpu,3,5078.3568
900,1800,iterative_maxmin_cuadrado_cpu,4,5056.6303
900,1800,iterative_maxmin_cuadrado_cpu,5,5072.6527
900,1800,iterative_maxmin_cuadrado_cpu,6,5071.4846
900,1800,iterative_maxmin_cuadrado_cpu,7,5149.6185
900,1800,iterative_maxmin_cuadrado_cpu,8,5062.2141
900,1800,iterative_maxmin_cuadrado_cpu,9,5066.8677
100,200,ft.maxmin,0,5.2512
100,200,ft.maxmin,1,4.9762
100,200,ft.maxmin,2,4.9979
100,200,ft.maxmin,3,4.8787
100,200,ft.maxmin,4,5.0598
100,200,ft.maxmin,5,6.2796
100,200,ft.maxmin,6,7.0042
100,200,ft.maxmin,7,4.9589
100,200,ft.maxmin,8,5.589
100,200,ft.maxmin,9,4.9815
200,400,ft.maxmin,0,33.2723
200,400,ft.maxmin,1,33.3155
200,400,ft.maxmin,2,33.0526
200,400,ft.maxmin,3,33.203
200,400,ft.maxmin,4,33.2519
200,400,ft.maxmin,5,33.0055
200,400,ft.maxmin,6,33.1271
200,400,ft.maxmin,7,32.9999
200,400,ft.maxmin,8,33.029
200,400,ft.maxmin,9,33.3037
300,600,ft.maxmin,0,111.0151
300,600,ft.maxmin,1,112.0931
300,600,ft.maxmin,2,111.9804
