c,n,repeticion,orden_efectivo
0.125,100,0,1
0.125,100,1,1
0.125,100,2,1
0.125,100,3,1
0.125,100,4,1
0.125,100,5,1
0.125,100,6,1
0.125,100,7,1
0.125,100,8,1
0.125,100,9,1
0.125,100,10,1
0.125,100,11,1
0.125,100,12,1
0.125,100,13,1
0.125,100,14,1
0.125,100,15,1
0.125,100,16,1
0.125,100,17,1
0.125,100,18,1
0.125,100,19,1
0.125,250,0,1
0.125,250,1,1
0.125,250,2,1
0.125,250,3,1
0.125,250,4,1
0.125,250,5,1
0.125,250,6,1
0.125,250,7,1
0.125,250,8,2
0.125,250,9,1
0.125,250,10,1
0.125,250,11,1
0.125,250,12,2
0.125,250,13,2
0.125,250,14,1
0.125,250,15,2
0.125,250,16,2
0.125,250,17,1
0.125,250,18,1
0.125,250,19,2
0.125,500,0,1
0.125,500,1,1
0.125,500,2,1
0.125,500,3,2
0.125,500,4,1
0.125,500,5,1
0.125,500,6,1
0.125,500,7,1
0.125,500,8,2
0.125,500,9,2
0.125,500,10,1
0.125,500,11,2
0.125,500,12,2
0.125,500,13,2
0.125,500,14,2
0.125,500,15,1
0.125,500,16,2
0.125,500,17,1
0.125,500,18,2
0.125,500,19,1
0.125,1000,0,2
0.125,1000,1,2
0.125,1000,2,2
0.125,1000,3,2
0.125,1000,4,3
0.125,1000,5,2
0.125,1000,6,2
0.125,1000,7,2
0.125,1000,8,1
0.125,1000,9,2
0.125,1000,10,2
0.125,1000,11,3
0.125,1000,12,2
0.125,1000,13,1
0.125,1000,14,2
0.125,1000,15,1
0.125,1000,16,2
0.125,1000,17,2
0.125,1000,18,1
0.125,1000,19,2
0.125,2500,0,2
0.125,2500,1,1
0.125,2500,2,2
0.125,2500,3,3
0.125,2500,4,3
0.125,2500,5,2
0.125,2500,6,2
0.125,2500,7,2
0.125,2500,8,3
0.125,2500,9,2
0.125,2500,10,3
0.125,2500,11,2
0.125,2500,12,4
0.125,2500,13,2
0.125,2500,14,2
0.125,2500,15,2
0.125,2500,16,2
0.125,2500,17,2
0.125,2500,18,3
0.125,2500,19,2
0.125,5000,0,2
0.125,5000,1,3
0.125,5000,2,2
0.125,5000,3,2
0.125,5000,4,2
0.125,5000,5,3
0.125,5000,6,3
0.125,5000,7,2
0.125,5000,8,2
0.125,5000,9,3
0.125,5000,10,2
0.125,5000,11,4
0.125,5000,12,3
0.125,5000,13,3
0.125,5000,14,2
0.125,5000,15,5
0.125,5000,16,3
0.125,5000,17,4
0.125,5000,18,3
0.125,5000,19,3
0.125,10000,0,3
0.125,10000,1,5
0.125,10000,2,3
0.125,10000,3,2
0.125,10000,4,3
0.125,10000,5,2
0.125,10000,6,3
0.125,10000,7,3
0.125,10000,8,4
0.125,10000,9,3
0.125,10000,10,4
0.125,10000,11,3
0.125,10000,12,3
0.125,10000,13,3
0.125,10000,14,4
0.125,10000,15,2
0.125,10000,16,3
0.125,10000,17,3
0.125,10000,18,2
0.125,10000,19,3
0.25,100,0,1
0.25,100,1,2
0.25,100,2,1
0.25,100,3,2
0.25,100,4,1
0.25,100,5,1
0.25,100,6,1
0.25,100,7,1
0.25,100,8,1
0.25,100,9,2
0.25,100,10,1
0.25,100,11,1
0.25,100,12,1
0.25,100,13,2
0.25,100,14,1
0.25,100,15,1
0.25,100,16,2
0.25,100,17,1
0.25,100,18,1
0.25,100,19,1
0.25,250,0,3
0.25,250,1,2
0.25,250,2,2
0.25,250,3,2
0.25,250,4,1
0.25,250,5,2
0.25,250,6,2
0.25,250,7,3
0.25,250,8,2
0.25,250,9,3
0.25,250,10,2
0.25,250,11,2
0.25,250,12,2
0.25,250,13,3
0.25,250,14,2
0.25,250,15,2
0.25,250,16,2
0.25,250,17,3
0.25,250,18,4
0.25,250,19,2
0.25,500,0,5
0.25,500,1,3
0.25,500,2,3
0.25,500,3,3
0.25,500,4,2
0.25,500,5,3
0.25,500,6,2
0.25,500,7,3
0.25,500,8,3
0.25,500,9,3
0.25,500,10,2
0.25,500,11,3
0.25,500,12,2
0.25,500,13,2
0.25,500,14,5
0.25,500,15,3
0.25,500,16,3
0.25,500,17,3
0.25,500,18,3
0.25,500,19,5
0.25,1000,0,2
0.25,1000,1,3
0.25,1000,2,3
0.25,1000,3,7
0.25,1000,4,3
0.25,1000,5,4
0.25,1000,6,3
0.25,1000,7,5
0.25,1000,8,3
0.25,1000,9,3
0.25,1000,10,3
0.25,1000,11,4
0.25,1000,12,3
0.25,1000,13,3
0.25,1000,14,4
0.25,1000,15,2
0.25,1000,16,3
0.25,1000,17,2
0.25,1000,18,3
0.25,1000,19,3
0.25,2500,0,5
0.25,2500,1,3
0.25,2500,2,3
0.25,2500,3,3
0.25,2500,4,3
0.25,2500,5,5
0.25,2500,6,3
0.25,2500,7,5
0.25,2500,8,3
0.25,2500,9,4
0.25,2500,10,4
0.25,2500,11,4
0.25,2500,12,5
0.25,2500,13,4
0.25,2500,14,3
0.25,2500,15,3
0.25,2500,16,5
0.25,2500,17,4
0.25,2500,18,5
0.25,2500,19,4
0.25,5000,0,4
0.25,5000,1,5
0.25,5000,2,3
0.25,5000,3,3
0.25,5000,4,3
0.25,5000,5,4
0.25,5000,6,5
0.25,5000,7,6
0.25,5000,8,4
0.25,5000,9,6
0.25,5000,10,4
0.25,5000,11,4
0.25,5000,12,4
0.25,5000,13,5
0.25,5000,14,3
0.25,5000,15,5
0.25,5000,16,3
0.25,5000,17,4
0.25,5000,18,4
0.25,5000,19,4
0.25,10000,0,6
0.25,10000,1,5
0.25,10000,2,6
0.25,10000,3,6
0.25,10000,4,6
0.25,10000,5,5
0.25,10000,6,5
0.25,10000,7,4
0.25,10000,8,4
0.25,10000,9,5
0.25,10000,10,5
0.25,10000,11,6
0.25,10000,12,5
0.25,10000,13,5
0.25,10000,14,4
0.25,10000,15,5
0.25,10000,16,4
0.25,10000,17,6
0.25,10000,18,6
0.25,10000,19,5
0.5,100,0,2
0.5,100,1,6
0.5,100,2,3
0.5,100,3,4
0.5,100,4,6
0.5,100,5,5
0.5,100,6,4
0.5,100,7,2
0.5,100,8,2
0.5,100,9,7
0.5,100,10,3
0.5,100,11,3
0.5,100,12,3
0.5,100,13,4
0.5,100,14,2
0.5,100,15,3
0.5,100,16,6
0.5,100,17,5
0.5,100,18,2
0.5,100,19,3
0.5,250,0,4
0.5,250,1,4
0.5,250,2,3
0.5,250,3,5
0.5,250,4,6
0.5,250,5,4
0.5,250,6,3
0.5,250,7,4
0.5,250,8,6
0.5,250,9,4
0.5,250,10,6
0.5,250,11,3
0.5,250,12,3
0.5,250,13,4
0.5,250,14,3
0.5,250,15,6
0.5,250,16,5
0.5,250,17,4
0.5,250,18,8
0.5,250,19,3
0.5,500,0,5
0.5,500,1,6
0.5,500,2,4
0.5,500,3,5
0.5,500,4,3
0.5,500,5,4
0.5,500,6,5
0.5,500,7,5
0.5,500,8,6
0.5,500,9,6
0.5,500,10,5
0.5,500,11,5
0.5,500,12,6
0.5,500,13,6
0.5,500,14,5
0.5,500,15,10
0.5,500,16,7
0.5,500,17,5
0.5,500,18,8
0.5,500,19,5
0.5,1000,0,6
0.5,1000,1,7
0.5,1000,2,5
0.5,1000,3,7
0.5,1000,4,7
0.5,1000,5,9
0.5,1000,6,7
0.5,1000,7,8
0.5,1000,8,8
0.5,1000,9,7
0.5,1000,10,6
0.5,1000,11,6
0.5,1000,12,5
0.5,1000,13,5
0.5,1000,14,10
0.5,1000,15,7
0.5,1000,16,7
0.5,1000,17,6
0.5,1000,18,6
0.5,1000,19,5
0.5,2500,0,9
0.5,2500,1,8
0.5,2500,2,7
0.5,2500,3,5
0.5,2500,4,10
0.5,2500,5,9
0.5,2500,6,5
0.5,2500,7,10
0.5,2500,8,10
0.5,2500,9,8
0.5,2500,10,8
0.5,2500,11,6
0.5,2500,12,9
0.5,2500,13,10
0.5,2500,14,6
0.5,2500,15,6
0.5,2500,16,9
0.5,2500,17,6
0.5,2500,18,8
0.5,2500,19,9
0.5,5000,0,9
0.5,5000,1,11
0.5,5000,2,8
0.5,5000,3,8
0.5,5000,4,11
0.5,5000,5,8
0.5,5000,6,8
0.5,5000,7,12
0.5,5000,8,11
0.5,5000,9,7
0.5,5000,10,7
0.5,5000,11,7
0.5,5000,12,11
0.5,5000,13,7
0.5,5000,14,7
0.5,5000,15,10
0.5,5000,16,9
0.5,5000,17,12
0.5,5000,18,9
0.5,5000,19,9
0.5,10000,0,9
0.5,10000,1,9
0.5,10000,2,9
0.5,10000,3,9
0.5,10000,4,9
0.5,10000,5,11
0.5,10000,6,8
0.5,10000,7,10
0.5,10000,8,9
0.5,10000,9,9
0.5,10000,10,10
0.5,10000,11,10
0.5,10000,12,12
0.5,10000,13,7
0.5,10000,14,9
0.5,10000,15,9
0.5,10000,16,10
0.5,10000,17,12
0.5,10000,18,9
0.5,10000,19,9
1,100,0,7
1,100,1,7
1,100,2,8
1,100,3,7
1,100,4,6
1,100,5,14
1,100,6,7
1,100,7,7
1,100,8,10
1,100,9,9
1,100,10,12
1,100,11,8
1,100,12,6
1,100,13,12
1,100,14,7
1,100,15,8
1,100,16,10
1,100,17,7
1,100,18,12
1,100,19,7
1,250,0,14
1,250,1,10
1,250,2,7
1,250,3,15
1,250,4,10
1,250,5,8
1,250,6,10
1,250,7,11
1,250,8,11
1,250,9,13
1,250,10,9
1,250,11,18
1,250,12,19
1,250,13,10
1,250,14,16
1,250,15,12
1,250,16,10
1,250,17,8
1,250,18,10
1,250,19,9
1,500,0,14
1,500,1,19
1,500,2,17
1,500,3,22
1,500,4,11
1,500,5,17
1,500,6,20
1,500,7,9
1,500,8,22
