c,n,repeticion,orden_efectivo
1,500,9,16
1,500,10,12
1,500,11,18
1,500,12,31
1,500,13,17
1,500,14,12
1,500,15,24
1,500,16,15
1,500,17,17
1,500,18,19
1,500,19,13
1,1000,0,24
1,1000,1,16
1,1000,2,16
1,1000,3,29
1,1000,4,19
1,1000,5,23
1,1000,6,24
1,1000,7,23
1,1000,8,28
1,1000,9,30
1,1000,10,19
1,1000,11,19
1,1000,12,27
1,1000,13,18
1,1000,14,23
1,1000,15,18
1,1000,16,29
1,1000,17,16
1,1000,18,26
1,1000,19,19
1,2500,0,37
1,2500,1,32
1,2500,2,26
1,2500,3,23
1,2500,4,35
1,2500,5,41
1,2500,6,27
1,2500,7,47
1,2500,8,60
1,2500,9,30
1,2500,10,52
1,2500,11,31
1,2500,12,27
1,2500,13,30
1,2500,14,30
1,2500,15,35
1,2500,16,37
1,2500,17,28
1,2500,18,34
1,2500,19,31
1,5000,0,76
1,5000,1,48
1,5000,2,47
1,5000,3,62
1,5000,4,28
1,5000,5,35
1,5000,6,43
1,5000,7,73
1,5000,8,21
1,5000,9,34
1,5000,10,32
1,5000,11,32
1,5000,12,34
1,5000,13,31
1,5000,14,29
1,5000,15,70
1,5000,16,42
1,5000,17,33
1,5000,18,32
1,5000,19,38
1,10000,0,42
1,10000,1,50
1,10000,2,54
1,10000,3,83
1,10000,4,48
1,10000,5,57
1,10000,6,45
1,10000,7,43
1,10000,8,82
1,10000,9,46
1,10000,10,50
1,10000,11,39
1,10000,12,68
1,10000,13,42
1,10000,14,67
1,10000,15,42
1,10000,16,86
1,10000,17,54
1,10000,18,36
1,10000,19,34
1.125,100,0,12
1.125,100,1,10
1.125,100,2,9
1.125,100,3,9
1.125,100,4,6
1.125,100,5,14
1.125,100,6,8
1.125,100,7,9
1.125,100,8,11
1.125,100,9,7
1.125,100,10,12
1.125,100,11,7
1.125,100,12,6
1.125,100,13,11
1.125,100,14,8
1.125,100,15,8
1.125,100,16,10
1.125,100,17,7
1.125,100,18,14
1.125,100,19,10
1.125,250,0,13
1.125,250,1,11
1.125,250,2,7
1.125,250,3,15
1.125,250,4,14
1.125,250,5,12
1.125,250,6,16
1.125,250,7,10
1.125,250,8,12
1.125,250,9,13
1.125,250,10,12
1.125,250,11,15
1.125,250,12,19
1.125,250,13,15
1.125,250,14,16
1.125,250,15,14
1.125,250,16,17
1.125,250,17,18
1.125,250,18,15
1.125,250,19,12
1.125,500,0,20
1.125,500,1,25
1.125,500,2,25
1.125,500,3,22
1.125,500,4,20
1.125,500,5,18
1.125,500,6,27
1.125,500,7,19
1.125,500,8,26
1.125,500,9,16
1.125,500,10,21
1.125,500,11,19
1.125,500,12,31
1.125,500,13,18
1.125,500,14,16
1.125,500,15,24
1.125,500,16,21
1.125,500,17,17
1.125,500,18,20
1.125,500,19,15
1.125,1000,0,26
1.125,1000,1,26
1.125,1000,2,21
1.125,1000,3,42
1.125,1000,4,27
1.125,1000,5,27
1.125,1000,6,22
1.125,1000,7,36
1.125,1000,8,28
1.125,1000,9,43
1.125,1000,10,29
1.125,1000,11,45
1.125,1000,12,33
1.125,1000,13,24
1.125,1000,14,23
1.125,1000,15,25
1.125,1000,16,33
1.125,1000,17,26
1.125,1000,18,27
1.125,1000,19,24
1.125,2500,0,50
1.125,2500,1,32
1.125,2500,2,36
1.125,2500,3,48
1.125,2500,4,47
1.125,2500,5,72
1.125,2500,6,33
1.125,2500,7,45
1.125,2500,8,48
1.125,2500,9,61
1.125,2500,10,47
1.125,2500,11,35
1.125,2500,12,44
1.125,2500,13,48
1.125,2500,14,37
1.125,2500,15,44
1.125,2500,16,56
1.125,2500,17,41
1.125,2500,18,43
1.125,2500,19,34
1.125,5000,0,84
1.125,5000,1,67
1.125,5000,2,74
1.125,5000,3,72
1.125,5000,4,45
1.125,5000,5,61
1.125,5000,6,63
1.125,5000,7,70
1.125,5000,8,34
1.125,5000,9,62
1.125,5000,10,54
1.125,5000,11,62
1.125,5000,12,34
1.125,5000,13,59
1.125,5000,14,40
1.125,5000,15,72
1.125,5000,16,57
1.125,5000,17,79
1.125,5000,18,62
1.125,5000,19,54
1.125,10000,0,62
1.125,10000,1,80
1.125,10000,2,82
1.125,10000,3,85
1.125,10000,4,74
1.125,10000,5,75
1.125,10000,6,70
1.125,10000,7,79
1.125,10000,8,73
1.125,10000,9,100
1.125,10000,10,74
1.125,10000,11,95
1.125,10000,12,91
1.125,10000,13,78
1.125,10000,14,91
1.125,10000,15,78
1.125,10000,16,78
1.125,10000,17,70
1.125,10000,18,46
1.125,10000,19,100
1.25,100,0,12
1.25,100,1,15
1.25,100,2,15
1.25,100,3,9
1.25,100,4,8
1.25,100,5,12
1.25,100,6,14
1.25,100,7,10
1.25,100,8,11
1.25,100,9,7
1.25,100,10,16
1.25,100,11,7
1.25,100,12,8
1.25,100,13,11
1.25,100,14,8
1.25,100,15,9
1.25,100,16,10
1.25,100,17,10
1.25,100,18,14
1.25,100,19,10
1.25,250,0,14
1.25,250,1,16
1.25,250,2,16
1.25,250,3,18
1.25,250,4,15
1.25,250,5,15
1.25,250,6,21
1.25,250,7,10
1.25,250,8,14
1.25,250,9,14
1.25,250,10,16
1.25,250,11,14
1.25,250,12,23
1.25,250,13,15
1.25,250,14,20
1.25,250,15,19
1.25,250,16,21
1.25,250,17,18
1.25,250,18,17
1.25,250,19,19
1.25,500,0,32
1.25,500,1,23
1.25,500,2,28
1.25,500,3,24
1.25,500,4,19
1.25,500,5,29
1.25,500,6,27
1.25,500,7,25
1.25,500,8,23
1.25,500,9,14
1.25,500,10,29
1.25,500,11,26
1.25,500,12,33
1.25,500,13,20
1.25,500,14,26
1.25,500,15,25
1.25,500,16,21
1.25,500,17,23
1.25,500,18,28
1.25,500,19,17
1.25,1000,0,36
1.25,1000,1,23
1.25,1000,2,26
1.25,1000,3,41
1.25,1000,4,34
1.25,1000,5,44
1.25,1000,6,36
1.25,1000,7,35
1.25,1000,8,34
1.25,1000,9,31
1.25,1000,10,42
1.25,1000,11,40
1.25,1000,12,35
1.25,1000,13,26
1.25,1000,14,30
1.25,1000,15,39
1.25,1000,16,39
1.25,1000,17,34
1.25,1000,18,35
1.25,1000,19,34
1.25,2500,0,44
1.25,2500,1,44
1.25,2500,2,57
1.25,2500,3,42
1.25,2500,4,45
1.25,2500,5,62
1.25,2500,6,48
1.25,2500,7,45
1.25,2500,8,52
1.25,2500,9,44
1.25,2500,10,39
1.25,2500,11,48
1.25,2500,12,40
1.25,2500,13,38
1.25,2500,14,36
1.25,2500,15,46
1.25,2500,16,46
1.25,2500,17,45
1.25,2500,18,44
1.25,2500,19,41
1.25,5000,0,46
1.25,5000,1,95
1.25,5000,2,81
1.25,5000,3,57
1.25,5000,4,74
1.25,5000,5,53
1.25,5000,6,54
1.25,5000,7,63
1.25,5000,8,68
1.25,5000,9,60
1.25,5000,10,62
1.25,5000,11,60
1.25,5000,12,72
1.25,5000,13,57
1.25,5000,14,65
1.25,5000,15,54
1.25,5000,16,63
1.25,5000,17,60
1.25,5000,18,54
1.25,5000,19,60
1.25,10000,0,68
1.25,10000,1,59
1.25,10000,2,90
1.25,10000,3,59
1.25,10000,4,62
1.25,10000,5,64
1.25,10000,6,88
1.25,10000,7,71
1.25,10000,8,60
1.25,10000,9,63
1.25,10000,10,66
1.25,10000,11,65
1.25,10000,12,60
1.25,10000,13,77
1.25,10000,14,69
1.25,10000,15,82
1.25,10000,16,68
1.25,10000,17,69
1.25,10000,18,62
1.25,10000,19,72
1.5,100,0,10
1.5,100,1,20
1.5,100,2,13
1.5,100,3,12
1.5,100,4,11
1.5,100,5,14
1.5,100,6,17
1.5,100,7,10
1.5,100,8,10
1.5,100,9,8
1.5,100,10,12
1.5,100,11,12
1.5,100,12,13
1.5,100,13,11
1.5,100,14,12
1.5,100,15,14
1.5,100,16,12
1.5,100,17,12
1.5,100,18,12
1.5,100,19,13
1.5,250,0,20
1.5,250,1,21
1.5,250,2,18
1.5,250,3,15
1.5,250,4,18
1.5,250,5,30
1.5,250,6,16
1.5,250,7,14
1.5,250,8,22
1.5,250,9,22
1.5,250,10,17
1.5,250,11,17
1.5,250,12,18
1.5,250,13,24
1.5,250,14,20
1.5,250,15,20
1.5,250,16,21
1.5,250,17,18
1.5,250,18,21
1.5,250,19,25
1.5,500,0,43
1.5,500,1,22
1.5,500,2,21
1.5,500,3,23
1.5,500,4,30
1.5,500,5,32
1.5,500,6,24
1.5,500,7,21
1.5,500,8,29
1.5,500,9,26
1.5,500,10,25
1.5,500,11,31
1.5,500,12,21
1.5,500,13,20
1.5,500,14,26
1.5,500,15,23
1.5,500,16,28
1.5,500,17,22
1.5,500,18,24
1.5,500,19,22
1.5,1000,0,28
1.5,1000,1,38
1.5,1000,2,30
1.5,1000,3,29
1.5,1000,4,27
1.5,1000,5,29
1.5,1000,6,25
1.5,1000,7,31
1.5,1000,8,32
1.5,1000,9,28
1.5,1000,10,33
1.5,1000,11,27
1.5,1000,12,29
1.5,1000,13,32
1.5,1000,14,27
1.5,1000,15,29
1.5,1000,16,31
1.5,1000,17,40
1.5,1000,18,29
1.5,1000,19,29
1.5,2500,0,39
1.5,2500,1,37
1.5,2500,2,47
1.5,2500,3,32
1.5,2500,4,45
1.5,2500,5,34
1.5,2500,6,39
1.5,2500,7,33
1.5,2500,8,38
1.5,2500,9,31
1.5,2500,10,41
1.5,2500,11,34
1.5,2500,12,32
1.5,2500,13,42
1.5,2500,14,37
1.5,2500,15,44
1.5,2500,16,35
1.5,2500,17,32
1.5,2500,18,32
1.5,2500,19,39
1.5,5000,0,37
1.5,5000,1,41
1.5,5000,2,41
1.5,5000,3,45
1.5,5000,4,45
1.5,5000,5,47
1.5,5000,6,43
1.5,5000,7,43
1.5,5000,8,39
1.5,5000,9,42
1.5,5000,10,46
1.5,5000,11,56
1.5,5000,12,51
1.5,5000,13,44
1.5,5000,14,47
1.5,5000,15,39
1.5,5000,16,41
1.5,5000,17,40
1.5,5000,18,42
1.5,5000,19,37
