dimension,value,mean_ms
batch,100,126.896
batch,500,121.786
batch,1000,157.493
batch,30,117.772
batch,5000,1572.63
batch,8000,5099.24
batch,12000,14031.6
batch,15,165.609
batch,18000,3421.28
batch,20000,6650.13
M,4,126.896
M,8,121.786
M,12,157.493
M,16,117.772
M,24,1572.63
M,32,5099.24
M,40,14031.6
M,56,165.609
M,72,3421.28
M,96,6650.13
N,4,126.896
N,8,121.786
N,12,157.493
N,16,117.772
N,24,1572.63
N,32,5099.24
N,40,14031.6
N,56,165.609
N,72,3421.28
N,96,6650.13
