n,nodos,funcion,repeticion,tiempo_ms
800,1600,ft.maxmin,2,239.5521
800,1600,ft.maxmin,3,239.568
800,1600,ft.maxmin,4,231.8717
800,1600,ft.maxmin,5,240.1868
800,1600,ft.maxmin,6,239.3869
800,1600,ft.maxmin,7,231.3569
800,1600,ft.maxmin,8,240.2006
800,1600,ft.maxmin,9,239.6704
900,1800,ft.maxmin,0,321.9291
900,1800,ft.maxmin,1,322.0366
900,1800,ft.maxmin,2,333.8127
900,1800,ft.maxmin,3,332.9501
900,1800,ft.maxmin,4,322.6682
900,1800,ft.maxmin,5,333.9776
900,1800,ft.maxmin,6,333.4981
900,1800,ft.maxmin,7,322.0288
900,1800,ft.maxmin,8,334.0476
900,1800,ft.maxmin,9,334.1746
1000,2000,ft.maxmin,0,433.1814
1000,2000,ft.maxmin,1,433.6134
1000,2000,ft.maxmin,2,446.7459
1000,2000,ft.maxmin,3,445.5407
1000,2000,ft.maxmin,4,433.715
1000,2000,ft.maxmin,5,447.2388
1000,2000,ft.maxmin,6,446.764
1000,2000,ft.maxmin,7,432.9387
1000,2000,ft.maxmin,8,447.0266
1000,2000,ft.maxmin,9,447.0887
