dimension,value,mean_ms
batch,100,237.906
batch,500,219.58
batch,1000,811.165
batch,30,178.858
batch,5000,1258.14
batch,8000,4482.91
batch,12000,13603.6
batch,15,244.314
batch,18000,3742.3
batch,20000,7081.61
M,4,237.906
M,8,219.58
M,12,811.165
M,16,178.858
M,24,1258.14
M,32,4482.91
M,40,13603.6
M,56,244.314
M,72,3742.3
M,96,7081.61
N,4,237.906
N,8,219.58
N,12,811.165
N,16,178.858
N,24,1258.14
N,32,4482.91
N,40,13603.6
N,56,244.314
N,72,3742.3
N,96,7081.61
